PostcodeID;PostCodePK;PostCode;PostcodeNummers;PostcodeLetters;Straat;MinNummer;MaxNummer;Plaats;Gemeente;Provincie
1;6651EH_22;6651EH;6651;EH;Genechtstraat;22;32;Druten;Druten;Gelderland
2;1189WK_2;1189WK;1189;WK;De Wijde Blik;2;30;Amstelveen;Amstelveen;Noord-Holland
3;1065VL_3;1065VL;1065;VL;Jacob Geelstraat;3;11;Amsterdam;Amsterdam;Noord-Holland
4;8471RK_24;8471RK;8471;RK;Beatrixstraat;24;36;Wolvega;Weststellingwerf;Friesland
5;7231JH_78;7231JH;7231;JH;Breegraven;78;102;Warnsveld;Zutphen;Gelderland
6;6828AA_1;6828AA;6828;AA;Apeldoornsestraat;1;1;Arnhem;Arnhem;Gelderland
7;1951HL_4;1951HL;1951;HL;Witte Hekweg;4;88;Velsen-Noord;Velsen;Noord-Holland
8;1561AT_107;1561AT;1561;AT;Noorderhoofdstraat;107;189;Krommenie;Zaanstad;Noord-Holland
9;9202LB_1;9202LB;9202;LB;Donia;1;32;Drachten;Smallingerland;Friesland
10;4701LV_2;4701LV;4701;LV;Burgemeester Schoonheijtstraat;2;44;Roosendaal;Roosendaal;Noord-Brabant
11;1741JV_2;1741JV;1741;JV;George Breitnerstraat;2;1006;Schagen;Schagen;Noord-Holland
12;1433BL_1;1433BL;1433;BL;Voltastraat;1;11;Kudelstaart;Aalsmeer;Noord-Holland
13;5602BG_0;5602BG;5602;BG;Postbus;0;10000;Eindhoven;Eindhoven;Noord-Brabant
14;4191SE_2;4191SE;4191;SE;Rijksstraatweg;2;32;Geldermalsen;Geldermalsen;Gelderland
15;7326KV_601;7326KV;7326;KV;Barnewinkel;601;618;Apeldoorn;Apeldoorn;Gelderland
16;5966NA_7;5966NA;5966;NA;Nieuwe Peeldijk;7;63;America;Horst aan de Maas;Limburg
17;2523CN_542;2523CN;2523;CN;Goeverneurlaan;542;566;'s-Gravenhage;'s-Gravenhage;Zuid-Holland
18;6685AT_2;6685AT;6685;AT;Mariaplein;2;10;Haalderen;Lingewaard;Gelderland
19;1326EL_1;1326EL;1326;EL;Magnoliahof;1;8;Almere;Almere;Flevoland
20;1183NS_52;1183NS;1183;NS;Bankrashof;52;67;Amstelveen;Amstelveen;Noord-Holland
21;7553ZE_81;7553ZE;7553;ZE;Wethouder Kampstraat;81;99;Hengelo;Hengelo;Overijssel
22;2542EP_6;2542EP;2542;EP;Stoeldraaiersgaarde;6;22;'s-Gravenhage;'s-Gravenhage;Zuid-Holland
23;5737AS_26;5737AS;5737;AS;Servaasstraat;26;56;Lieshout;Laarbeek;Noord-Brabant
24;3431XE_2;3431XE;3431;XE;Zegelstede;2;7001;Nieuwegein;Nieuwegein;Utrecht
25;2022PA_2;2022PA;2022;PA;Nieuw Guineastraat;2;38;Haarlem;Haarlem;Noord-Holland
26;8355VD_1;8355VD;8355;VD;Kooiweg;1;15;Giethoorn;Steenwijkerland;Overijssel
27;3961CT_2;3961CT;3961;CT;Dr. Cuypersstraat;2;30;Wijk bij Duurstede;Wijk bij Duurstede;Utrecht
28;6265AA_1;6265AA;6265;AA;Burgemeester Wolfsstraat;1;42;Sint Geertruid;Eijsden-Margraten;Limburg
29;7914PB_31;7914PB;7914;PB;Zwarte Dijkje;31;49;Noordscheschut;Hoogeveen;Drenthe
30;4847AE_3;4847AE;4847;AE;Groenstraat;3;29;Teteringen;Breda;Noord-Brabant
31;7002AA_1;7002AA;7002;AA;Anna Blamanstraat;1;11;Doetinchem;Doetinchem;Gelderland
32;3344RD_2;3344RD;3344;RD;Amandelgaarde;2;36;Hendrik-Ido-Ambacht;Hendrik-Ido-Ambacht;Zuid-Holland
33;5431LX_28;5431LX;5431;LX;Buizerdhorst;28;69;Cuijk;Cuijk;Noord-Brabant
34;1087AZ_152;1087AZ;1087;AZ;Johan van der Keukenstraat;152;210;Amsterdam;Amsterdam;Noord-Holland
35;5683HW_1;5683HW;5683;HW;Frater S. Romboutsstraat;1;29;Best;Best;Noord-Brabant
36;1506KX_2;1506KX;1506;KX;Charley Tooropstraat;2;16;Zaandam;Zaanstad;Noord-Holland
37;9223NP_2;9223NP;9223;NP;W+óldstrjitte;2;23;Houtigehage;Smallingerland;Friesland
38;2134WN_2;2134WN;2134;WN;Thoornpolder;2;74;Hoofddorp;Haarlemmermeer;Noord-Holland
39;2251ZP_1;2251ZP;2251;ZP;Herman Gortersingel;1;18;Voorschoten;Voorschoten;Zuid-Holland
40;4651LE_1;4651LE;4651;LE;Primulastraat;1;16;Steenbergen;Steenbergen;Noord-Brabant
41;7381CG_15;7381CG;7381;CG;De Zweep;15;67;Klarenbeek;Apeldoorn;Gelderland
42;5406PH_2;5406PH;5406;PH;Karperdijk;2;34;Uden;Uden;Noord-Brabant
